Lib,nbDepsUsedClasses,nbDepsBloatedClasses,nbLibUsedClasses,nbLibBloatedClasses,nbLibUsedMethods,nbLibBloatedMethods,nbDepsUsedMethods,nbDepsBloatedMethods
DiUS_java-faker_0.8,246,430,19,0,91,27,435,854
DiUS_java-faker_0.15,282,720,66,0,491,15,568,1056
DiUS_java-faker_0.2,282,720,95,0,691,12,593,1049
FasterXML_jackson-datatype-jdk8_2.5.3,2,1416,12,0,0,0,2,2
FasterXML_jackson-datatype-jdk8_2.7.1,4,1432,16,0,0,0,6,3
FasterXML_jackson-datatype-jdk8_2.6.1,6,1422,16,0,0,0,9,4
FasterXML_jackson-datatype-jdk8_2.4.4,2,1376,12,0,0,0,2,2
codelibs_elasticsearch-cluster-runner_2.0.0.0,0,0,0,0,0,0,0,0
codelibs_elasticsearch-cluster-runner_5.4.1.0,9,40814,47,160,57,14,33,13
codelibs_elasticsearch-cluster-runner_5.6.8.0,0,0,0,0,0,0,0,0
codelibs_elasticsearch-cluster-runner_2.4.0.0,0,0,0,0,0,0,0,0
codelibs_elasticsearch-cluster-runner_1.4.0.0,0,0,0,0,0,0,0,0
codelibs_elasticsearch-cluster-runner_2.3.0.0,0,0,0,0,0,0,0,0
eveardown_jose4j_0.5.5,14,54,174,14,911,137,43,35
eveardown_jose4j_0.5.7,14,54,175,14,926,137,43,35
eveardown_jose4j_0.5.0,0,48,173,14,713,99,0,0
eveardown_jose4j_0.7.0,14,54,181,15,976,136,43,35
eveardown_jose4j_0.4.4,0,48,168,12,664,97,0,0
eveardown_jose4j_0.5.1,0,48,174,14,721,99,0,0
eveardown_jose4j_0.6.5,14,54,178,15,952,137,43,35
eveardown_jose4j_0.6.0,14,54,178,15,946,139,43,35
HtmlUnit_htmlunit_2.9,0,0,0,0,0,0,0,0
HtmlUnit_htmlunit_2.15,0,0,0,0,0,0,0,0
HtmlUnit_htmlunit_2.12,0,0,0,0,0,0,0,0
srikanth-lingala_zip4j_2.1.2,0,0,39,56,184,214,0,0
openbouquet_HikariCP_2.6.0,0,0,0,0,0,0,0,0
openbouquet_HikariCP_3.2.0,0,0,0,0,0,0,0,0
